English_Name,Chinese_Name,Gender,Alignment,Power_Type,Detailed_Power,MCU_Presence,Movie_Count,Primary_Team,Mentor_CN,Risk_Level,Social_Style
FANDRAL [ASGARDIAN],范达尔（阿斯加德人）,男,正派,神力,作为阿斯加德人，拥有超人的力量、速度、耐力和寿命，精通剑术和格斗技巧。,是,2,仙宫三勇士,奥丁,3,风流倜傥
"NORRISS, SISTER BARB",芭芭修女,女,正派,魔法,作为魔法师，她掌握多种魔法，包括能量投射、传送和防御法术，是魔法领域的专家。,否,0,魔法师团体,古一,3,团队核心
NIGHT THRASHER/DUANE,夜行侠/杜安,男,正派,格斗,无超能力，依靠高科技装备（如动力装甲、滑板）和精湛的武术进行战斗。,否,0,新勇士,无明确核心导师,4,团队核心
SIF,希芙,女,正派,神力,拥有阿斯加德神族的超强力量、耐力、战斗技巧和长寿，是阿斯加德最杰出的女战士之一。,是,2,阿斯加德,奥丁,3,忠诚战士
SUNFIRE/SHIRO YOSHID,太阳火/志志雄真实,男,正派,变异,能产生并操控等离子体火焰，飞行，吸收太阳能增强能力，免疫高温。,否,0,X战警,X教授,6,孤傲
SANDMAN/WILLIAM BAKE,沙人/威廉·贝克,男,反派,变异,身体可转化为沙状物质，随意变形、重组、硬化，控制沙子攻击或防御。,否,0,邪恶六人组,无,7,孤傲
DAZZLER II/ALLISON B,炫光女侠II/艾莉森·B,女,正派,变异,能将声波转化为强光、激光等光能形式，用于攻击、防御、照明或制造幻象。,否,0,X战警,X教授,3,团队核心
THANOS,灭霸,非人类,反派,神力/宇宙能量,拥有宇宙级力量、耐力、再生能力，能操控宇宙立方、无限宝石等神器，精通战略与科技。,是,5,黑暗教团,死亡女神,10,孤傲/独裁者
PHARAOH RAMA-TUT,法老拉玛图特,男,反派,科技,来自31世纪的征服者康的变体，利用未来科技统治古埃及，拥有先进武器和时间旅行能力。,否,0,无固定阵营,无,8,孤傲
PUCK/EUGENE MILTON J,帕克/尤金·米尔顿·J,男,正派,变异,因实验获得超强耐力、敏捷和力量，体型矮小但格斗技巧高超，能承受巨大冲击。,否,0,阿尔法战队,无明确核心导师,3,团队合作者
SIRYN/THERESA ROURKE,女妖/特蕾莎·鲁尔克,女,正派,变异,拥有强大的声波操控能力，能发出超声波攻击、制造声波护盾、进行声波飞行和催眠等。,否,0,X战警,X教授,4,团队核心
HELLCAT/PATSY WALKER,地狱猫/帕齐·沃克,女,正派,魔法,通过魔法获得超人类力量、速度、敏捷度、感知力和心灵感应能力，能进行灵魂出窍和附身。,否,0,捍卫者联盟,女巫阿加莎·哈克尼斯,3,双重身份
BISHOP /,毕肖普 / 卢卡斯·毕肖普,男,正派,变异,能够吸收并重新定向各种形式的能量，包括动能、热能、电能等，将其转化为自身力量或释放攻击。,否,0,X战警,X教授,5,团队核心
SPIDER-MAN CLONE/BEN,蜘蛛侠克隆体/本·莱利,男,正派,变异,拥有与蜘蛛侠彼得·帕克相似的超能力，包括蜘蛛感应、超强力量与敏捷、爬墙能力，并能发射有机蛛丝。,否,0,新勇士,彼得·帕克,3,双重身份
"HARKNESS, AGATHA",阿加莎·哈克尼斯,女,反派,魔法,精通混沌魔法和古老巫术，能操控能量、变形、精神控制及吸收他人魔法力量。,是,1,无固定阵营,无明确导师,8,伪装欺骗
BALDER [ASGARDIAN],巴尔德尔,男,正派,神力,拥有超凡的阿斯加德神族力量、耐力、速度与再生能力，是光明与纯净之神，对多数攻击免疫。,否,0,阿斯加德,奥丁,2,光明磊落
DARKHAWK/CHRIS POWEL,暗鹰/克里斯·鲍威尔,男,正派,科技,通过暗鹰护甲获得飞行、超级力量、能量冲击、隐形和快速自愈能力，并能切换至能量形态。,否,0,新勇士,无明确核心导师,4,孤傲
VOLSTAGG,沃斯塔格,男,正派,神力,作为阿斯加德人，拥有远超常人的力量、耐力、寿命和战斗技巧，是仙宫三勇士之一。,是,3,仙宫三勇士/阿斯加德,奥丁,3,忠诚伙伴
LIVING LIGHTNING/MIG,活体闪电/米格尔·桑托斯,男,正派,变异,能够将身体转化为电流形态，进行高速移动、飞行、释放电击，并免疫物理攻击。,否,0,复仇者联盟,托尼·斯塔克（钢铁侠）,3,团队核心
"THOMPSON, EUGENE FLA",尤金·“闪电”·汤普森,男,正派,变异,被共生体附身后获得超强力量、速度、敏捷性及自愈能力，并可生成共生体武器。,是,2,复仇者联盟,彼得·帕克（蜘蛛侠）,4,团队核心
"BANNER, BETTY ROSS T",贝蒂·罗斯·塔尔博特,女,正派,科技,作为科学家，她本身没有超能力，但曾短暂通过伽马辐射实验获得类似女浩克的变身能力。,是,2,美国军方/神盾局相关,布鲁斯·班纳,3,理性支持者
HUMAN TORCH ANDROID/,霹雳火机器人,非人类,反派,科技,拥有与霹雳火相似的火焰能力，包括飞行、火焰投射和高温免疫，但由人工智能控制，缺乏自主意识。,否,0,无固定阵营,无,4,无社交
CITIZEN V II/HELMUT,公民V二世/赫尔穆特,男,反派,科技,使用高科技武器和装甲，包括能量武器、飞行能力和增强体能，无超能力。,否,0,雷霆特工队,泽莫男爵,6,双重间谍
LILANDRA NERAMANI [S,莉兰德拉·尼拉玛尼,女,正派,宇宙能量,拥有强大的心灵感应和预知能力，能操控精神能量，作为希阿帝国女皇具备星际领导力。,否,0,X战警/希阿帝国,X教授,7,星际领袖/外交家
DOMINO III/BEATRICE/,多米诺三世/碧翠丝,女,正派,变异,拥有概率操控能力，能下意识地影响事件发生的概率，使幸运偏向自己或队友，同时具备出色的战斗技巧。,否,0,X特攻队,死侍,4,冷静务实
HIGH EVOLUTIONARY/HE,至高进化/赫伯特·温德姆,男,反派,科技,通过基因工程改造自身和生物，拥有超级智力、再生能力和能量投射能力。,是,1,独立/自创阵营,无明确核心导师,9,孤傲/控制狂
"CARTER, PEGGY",佩吉·卡特,女,正派,格斗,无超能力，但拥有卓越的格斗技巧、战略头脑和领导能力，是神盾局创始人之一。,是,4,神盾局,无,2,团队核心
"KNIGHT, MISTY",米斯蒂·奈特,女,正派,格斗,前纽约警察局警官，无超能力，但精通格斗技巧、枪械使用和侦探技能，拥有机械仿生手臂增强力量。,否,0,捍卫者联盟/夜魔侠盟友,无特定核心导师,3,坚韧独立
JACK OF HEARTS/JACK,红心杰克,男,正派,宇宙能量,能够吸收并释放宇宙能量，飞行，能量爆炸，增强力量，但能量过载时可能失控。,否,0,复仇者联盟,钢铁侠,6,孤傲
KA-ZAR/KEVIN PLUNDER,凯-扎尔/凯文·普兰德,男,正派,格斗,无超能力，但拥有卓越的生存技能、丛林战斗技巧和与野兽沟通的能力，常与剑齿虎扎布为伴。,否,0,野蛮之地守护者,无明确导师,3,孤傲
"ROSS, GEN. THADDEUS",撒迪厄斯·“雷霆”·罗斯将军,男,中立/反派,科技/变异,通过科技手段（如反浩克装甲）或血清变异（如红巨人）获得超级力量、耐力与再生能力。,是,4,美国军方/雷霆特工队,无明确核心导师,7,强硬/固执/军方权威
DARKSTAR/LAYNIA SERG,暗星/莱妮亚·瑟格,女,反派,宇宙能量,能够操控暗能量，制造黑暗领域、能量爆炸和传送，并能吸收光线和能量攻击。,否,0,苏联超级士兵团队（如Winter Guard等）,红卫兵,6,孤傲
LOCKHEED,洛克希德,非人类,正派,变异,小型紫色外星龙，能飞行、喷火、隐形，智力高，会说英语，是X战警成员凯蒂·普莱德的宠物和伙伴。,否,0,X战警,凯蒂·普莱德（幻影猫）,3,忠诚伙伴
STRONG GUY/GUIDO CAR,壮汉/圭多·卡,男,正派,变异,拥有超强力量和耐力，能将受到的动能冲击转化为肌肉质量，体型随战斗增强。,否,0,X因子,X教授,4,团队核心
"OSBORN, LIZ ALLAN",莉兹·艾伦·奥斯本,女,中立,格斗,无超能力，但具备出色的商业头脑、领导能力和格斗技巧，作为企业家和母亲活跃。,否,0,奥斯本家族/无核心团队,诺曼·奥斯本,3,坚韧独立
ENCHANTRESS/AMORA/HE,魅惑女巫/阿莫拉,女,反派,魔法,强大的魔法师，擅长魅惑、幻术、能量投射和飞行，寿命极长，精通多种黑魔法。,否,0,无固定核心阵营（常作为独立反派或与洛基等合作）,无明确核心导师,7,孤傲/操纵者
ETERNITY/ADAM QADMON,永恒/亚当·卡德蒙,非人类,中立,宇宙能量,作为宇宙实体，代表整个漫威宇宙的时间与空间，拥有近乎无限的宇宙级力量，能操控现实、时间、空间和生命。,是,1,宇宙实体,无,10,孤傲
MEGGAN,梅根,女,正派,魔法,拥有强大的魔法能力，能与自然元素沟通，可变形、飞行、能量投射，并能感知和影响他人情绪。,否,0,英国队长军团,梅林,4,温和共情
RHINO,犀牛人,男,反派,科技,身穿重型犀牛装甲，拥有超人的力量、耐力、速度和防御力，能发起强力冲锋攻击。,否,0,邪恶六人组,章鱼博士,6,暴躁易怒
MULTIPLE MAN/JAMES A,分身人/詹姆斯·亚瑟·马多克斯,男,正派,变异,能够通过意念制造出多个物理实体分身，每个分身拥有独立意识但共享记忆与经验，分身消失后经验回归本体。,否,0,X因子,X教授,3,团队合作者
DOC SAMSON/DR. LEONA,萨姆森博士/莱昂娜博士,女,正派,变异,通过伽马辐射获得超强力量、耐力、再生能力和绿色长发，能控制伽马能量。,否,0,复仇者联盟,布鲁斯·班纳（浩克）,4,理性冷静
GUARDIAN/JAMES MACDO,守护者/詹姆斯·麦克唐纳,男,正派,科技,穿着高科技动力装甲，具备飞行、能量护盾、超级力量、能量冲击波等能力，装甲提供生命维持和战术分析功能。,否,0,阿尔法飞行队,无明确核心导师,3,团队核心
NOVA II/FRANKIE RAYE,新星二代/弗兰基·雷,女,正派,宇宙能量,通过新星头盔获得宇宙能量，可飞行、发射能量冲击、增强力量与耐力，并能在太空生存。,否,0,新星军团,理查德·赖德（新星一代）,5,团队合作者
"JAMESON, COL. JOHN",约翰·詹姆森上校,男,正派,变异,通过实验获得超强力量、耐力、飞行能力，但受月光影响会变成狼人形态。,否,0,美国陆军/神盾局,无明确核心导师,4,军人作风/责任感强
CYPHER/DOUG RAMSEY,密码/道格·拉姆齐,男,正派,变异,天生能理解所有语言（包括人类语言、计算机代码、外星语言等），并能快速分析复杂信息。,否,0,X战警,X教授,2,内向学者
BLACK CAT/FELICIA HA,黑猫/费莉西亚·哈代,女,中立,变异,通过实验获得增强的敏捷性、平衡感、反应速度和运气，擅长格斗与盗窃技巧。,否,0,无固定核心阵营，常与蜘蛛侠或反英雄合作,无明确核心导师,4,亦正亦邪/独立行动者
MAKKARI/MIKE KHARY/I,马卡里/迈克·卡里/我,女,正派,神力,永恒族成员，拥有超光速移动能力，能通过振动分子穿越物体，感知时间流异常。,是,1,永恒族,阿贾克,4,孤傲
PALADIN/PAUL DENNIS,圣骑士/保罗·丹尼斯,男,中立,科技,穿戴高科技动力装甲，具备超级力量、飞行能力和能量武器，精通战术与格斗技巧。,否,0,雇佣兵/独立行动者,无固定导师,4,孤傲/雇佣兵风格
DRAX/ARTHUR DOUGLAS,德拉克斯/亚瑟·道格拉斯,男,正派,变异,超强力量、耐力、飞行能力，对灭霸有强烈复仇执念，身体经过改造增强。,是,5,银河护卫队,星爵,4,直率鲁莽
"TILBY, TRISH/PATRICI",帕特里夏·“翠西”·蒂尔比,女,正派,科技,作为神盾局特工，她精通情报分析、战术规划和格斗技巧，主要依靠高科技装备和特工训练执行任务。,否,0,神盾局,菲尔·科尔森,3,团队协作
WARLOCK II/ADAM WARL,术士亚当/亚当·沃洛克,非人类,正派,宇宙能量,拥有宇宙能量操控能力，可飞行、能量投射、物质重组、超强再生，并能感知宇宙平衡。,是,1,银河护卫队,至高进化,8,孤傲
PYRO/ALLERDYCE JOHNN,火人/约翰·阿勒代斯,男,反派,变异,能够通过意念控制火焰，但不能自行产生火焰，需借助外部火源。,否,0,变种人兄弟会,万磁王,6,叛逆激进
MOLE MAN/HARVEY RUPE,鼹鼠人/哈维·鲁普,男,反派,变异,拥有超强力量、耐久力，能控制地下的巨型生物和怪物，擅长地下作战。,否,0,无固定阵营,无,4,孤僻
FIXER II/PAUL NORBER,修复者二世/保罗·诺伯,男,反派,科技,精通电子工程和机械技术，擅长制造和操控高科技武器、设备及机器人，无超自然能力。,否,0,雷霆特工队,泽莫男爵,6,孤傲
GHOST RIDER III/DAN,恶灵骑士III/丹尼尔·凯奇,男,正派,魔法,被复仇之灵扎坦诺斯附体，可召唤地狱火摩托车，使用审判之眼和锁链攻击，拥有超强再生能力。,否,0,午夜之子,强尼·布雷泽,7,孤傲
SPIDER-WOMAN/JESSICA,蜘蛛女侠/杰西卡·德鲁,女,正派,变异,拥有蜘蛛感应、超强力量与敏捷、攀爬墙壁、生物电击、飞行能力（通过滑翔翼）等。,否,0,复仇者联盟,尼克·弗瑞,4,双重间谍
HELA [ASGARDIAN],海拉,女,反派,神力,阿斯加德死亡女神，拥有强大的神力，能召唤亡灵军团，操控阿斯加德能量，近乎不朽。,是,1,无,奥丁,9,孤傲
"PAGE, KAREN",凯伦·佩吉,女,正派,格斗,无超能力，但具备出色的法律知识、调查能力和格斗技巧，作为夜魔侠的盟友和恋人提供关键支持。,是,0,夜魔侠盟友,马特·默多克（夜魔侠）,3,坚韧独立
JOLT/HALLIE TAKAHAMA,电击/哈利·高滨,女,正派,变异,能产生和操控强大的电流与电磁场，用于攻击、防御和飞行。,否,0,雷霆特工队,泽莫男爵,3,团队合作者
STINGRAY/DR. WALTER,黄貂鱼/沃尔特·纽厄尔博士,男,正派,科技,通过特制潜水服获得水下高速移动、能量冲击波发射、深海压力抵抗和增强力量的能力。,否,0,复仇者联盟,托尼·斯塔克（钢铁侠）,3,团队合作者
"O'BRIEN, MICHAEL",迈克尔·奥布莱恩,男,正派,科技,作为神盾局特工，精通高科技装备使用、战术指挥和情报分析，无超自然能力。,否,0,神盾局,尼克·弗瑞,3,团队核心
MS. MARVEL II/SHARON,惊奇女士II/莎伦·卡特,女,正派,科技,经过超级士兵血清强化，拥有超越常人的力量、速度、耐力和反应能力，精通多种格斗技巧和武器使用。,是,3,神盾局,佩吉·卡特,4,忠诚干练
JUGGERNAUT/CAIN MARK,红坦克/凯恩·马可,男,反派,神力,通过魔法宝石获得近乎无敌的力量和防御，能持续冲锋无法被阻挡，但精神易受攻击。,否,0,X战警反派,无,8,孤傲
BLACK KING/SEBASTIAN,黑王/塞巴斯蒂安·肖,男,反派,变异,能够吸收任何形式的能量（包括动能、热能、辐射等）并转化为自身力量，增强体能或释放攻击。,是,1,地狱火俱乐部,无明确核心导师,8,野心家/操控者
ELECTRO/MAX DILLON,电光人/麦克斯·狄龙,男,反派,变异,能够吸收和操控电能，身体可转化为电流形态，释放高压电击，飞行能力。,否,2,邪恶六人组,绿魔,7,孤傲
VANGUARD/NICOLAI KRY,先锋/尼古拉·克里,男,反派,科技,通过外骨骼装甲获得飞行、能量护盾、能量冲击波等能力，装甲提供超强防御和力量增强。,否,0,苏联超级士兵计划,无明确导师,6,孤傲
"BRIDGE, GEORGE WASHI",乔治·华盛顿·布里奇,男,正派,科技,神盾局特工，精通战术指挥和格斗，装备高科技武器和装甲，无超能力。,否,0,神盾局,尼克·弗瑞,3,忠诚/战术专家
RAGE/ELVIN DARYL HAL,狂怒/埃尔文·达里尔·哈尔,男,正派,变异,通过实验获得超强力量、耐力、速度和再生能力，但情绪激动时能力会失控增强。,否,0,新勇士,夜鸫,5,情绪化/团队合作
DEATH,死亡,非人类,中立,神力,作为宇宙抽象实体，代表死亡概念本身，拥有不朽、操控生死、影响现实、与永恒等实体互动等能力。,否,0,宇宙抽象实体,无,10,神秘莫测
SHANNA/SHANNA O'HARA,莎娜/莎娜·奥哈拉,女,正派,变异,拥有超人的力量、速度、敏捷性和耐力，能与动物沟通，尤其擅长与大型猫科动物交流。,否,0,X战警,X教授,3,团队核心
WARLOCK III,术士三世,非人类,正派,宇宙能量,来自外星的共生体，可变形、飞行、能量投射，能与宿主融合增强能力。,否,0,新勇士,术士,3,团队核心
AVALANCHE/DOMINIC PE,雪崩/多米尼克·佩特罗斯,男,反派,变异,能够制造和控制地震波，通过地面传导引发震动、裂缝和雪崩效果。,否,0,变种人兄弟会,万磁王,6,激进追随者
"WATSON, ANNA",安娜·沃森,女,正派,格斗,无超能力，但具备优秀的格斗技巧和情报分析能力，是神盾局资深特工。,否,0,神盾局,尼克·弗瑞,2,沉稳可靠
HELLSTORM/DAIMON HEL,地狱风暴/戴蒙·赫尔,男,中立,魔法,地狱领主之子，能操控地狱火焰、进行灵魂攻击、召唤恶魔，并拥有强大的魔法抗性和格斗技巧。,否,0,午夜之子,撒旦尼什,7,孤傲
ABSORBING MAN/CARL C,吸收人/卡尔·克里尔,男,反派,魔法,通过接触吸收任何物质的物理特性，使身体变成该物质并获得相应强度与能力。,是,约2部,无固定核心阵营，常为雇佣反派或独立行动,洛基,7,暴躁易怒/雇佣兵心态
CLOAK/TYRONE JOHNSON,斗篷/泰隆·约翰逊,男,正派,变异,拥有暗影维度入口，可传送他人、吸收能量与生命，并利用暗影进行隐形与攻击。,否,0,新勇士,无,6,孤傲/依赖搭档
SABRETOOTH/VICTOR CR,剑齿虎/维克多·克里德,男,反派,变异,拥有超强自愈能力、动物般敏锐感官、利爪和尖牙，以及远超常人的力量、速度和耐力。,否,0,X战警相关反派/兄弟会,无明确核心导师,8,狂暴/孤傲/复仇者
REDWING,红翼,非人类,正派,科技,由猎鹰操控的无人机，具备侦察、追踪、攻击功能，可远程控制，是猎鹰的重要辅助装备。,是,约3部,复仇者联盟,猎鹰,2,辅助工具
GHOST RIDER II/JOHNN,恶灵骑士II/约翰尼·布雷泽,男,正派,魔法,被复仇之灵扎坦诺斯附身，拥有地狱火摩托车、锁链、审判之眼等超自然能力，可惩罚罪人。,是,2,午夜之子,卡特·斯莱德,7,孤傲
KLAW/ULYSSES KLAW,克劳/尤利西斯·克劳,男,反派,科技,通过声波转换技术，能将身体转化为声波形态，操控声波进行攻击、防御和移动，并拥有声波武器。,是,2,无固定阵营，常作为独立反派或与瓦坎达敌对势力合作,无,7,贪婪/孤傲/技术狂人
"GRANT, GLORIA GLORY",格洛丽亚·格洛丽·格兰特,女,反派,变异,拥有超强力量和速度，能发射能量冲击波，身体可部分金属化增强防御。,否,0,邪恶大师,泽莫男爵,6,孤傲
MAGIK/ILLYANA RASPUT,秘客/伊利亚娜·拉斯普廷,女,正派,魔法,掌握黑魔法，能召唤恶魔、开启传送门、使用灵魂之剑，并能操控地狱边境的维度力量。,否,0,X战警,查尔斯·泽维尔,7,孤傲
"KINCAID, DR. JANE FO",金凯德博士/简·福,女,正派,科技,天才级科学家，擅长生物科技与基因工程，无直接超能力但通过科技手段创造超人类或应对超自然威胁。,否,0,神盾局(S.H.I.E.L.D.),尼克·弗瑞,3,理性冷静/团队支持者
GARGOYLE II/ISAAC CH,石像鬼二世/艾萨克·陈,男,反派,变异,通过基因改造获得超强力量、飞行能力及石化皮肤，能发射能量光束。,否,0,邪恶大师,贾斯汀·汉默,6,孤傲
GEE/ALEX POWER,吉/亚历克斯·鲍尔,男,正派,宇宙能量,能够操控宇宙能量，包括飞行、能量投射、能量护盾和物质重组，能力随年龄增长而增强。,否,0,新勇士,理查德·鲍尔,4,团队核心
APOCALYPSE/EN SABAH,天启/恩·沙巴·努尔,非人类,反派,变异/宇宙能量,拥有超强自愈、分子操控、能量吸收、科技融合、不朽生命及通过科技强化变种人的能力。,否,1,天启四骑士,无,10,孤傲/独裁者
GREEN GOBLIN/NORMAN,绿魔/诺曼·奥斯本,男,反派,科技,通过服用“绿魔血清”获得超人类力量、速度、耐力和敏捷性，并驾驶高科技滑翔翼和投掷南瓜炸弹。,是,3,无核心阵营（主要作为蜘蛛侠的宿敌）,无,8,双重人格/疯狂偏执
"DE LA FONTAINE, CONT",孔特·德拉方丹,男,反派,格斗,精通多种格斗技巧，擅长使用冷兵器，无超能力但战斗力极强。,否,0,九头蛇,红骷髅,4,忠诚执行者
"HOGAN, VIRGINIA PEPP",霍根，弗吉尼亚·佩普,女,正派,格斗,无超能力，但具备出色的格斗技巧和军事训练，作为神盾局特工执行任务。,否,0,神盾局,尼克·弗瑞,3,忠诚可靠
LYJA LAZERFIST [SKRU,莱贾·激光拳[斯克鲁],女,反派,变异,斯克鲁人，拥有变形能力，可完美模仿他人外貌和记忆，并具备超人的力量、速度和耐力。,否,0,斯克鲁帝国,无明确核心导师,6,双重间谍
"CARTER, SHARON",莎伦·卡特,女,正派,格斗,神盾局特工，精通格斗、枪械和战术，无超能力，但训练有素。,是,3,神盾局,佩吉·卡特,3,双重间谍
X-MAN/NATHAN GREY,X人/内森·格雷,男,正派,变异,拥有强大的心灵感应、念动力、能量操控、预知未来、跨维度感知及现实扭曲等欧米伽级变种人能力。,否,0,X战警,镭射眼,9,孤傲
HEIMDALL [ASGARDIAN],海姆达尔,男,正派,神力,拥有超强感官，能看穿九界万物，守护彩虹桥，具备强大的战斗能力和阿斯加德神力。,是,4,阿斯加德,奥丁,3,忠诚守护者
MACHINE MAN/X-51,机器侠/X-51,非人类,正派,科技,拥有超强力量、飞行能力、能量发射、身体变形、超强计算与学习能力，以及近乎不死的机械身体。,否,0,复仇者联盟,亚伯拉罕·扎尔科夫,4,孤傲
RED SKULL/JOHANN SCH,红骷髅/约翰·施密特,男,反派,科技,通过超级士兵血清获得增强的体能、智力和寿命，精通战略、格斗和武器使用，拥有宇宙魔方（空间宝石）的部分知识。,是,3,九头蛇,阿道夫·希特勒（历史关联）,8,孤傲/极端领袖
IKARIS/IKE HARRIS [E,伊卡里斯/艾克·哈里斯,男,正派,神力,作为永恒族成员，拥有飞行、超强力量、能量投射、不朽寿命等天神赋予的神力。,是,1,永恒族,阿贾克,7,孤傲
CONSTRICTOR/FRANK PA,绞杀者/弗兰克·佩恩,男,反派,科技,使用高科技伸缩金属鞭作为武器，鞭子可延伸、缠绕、导电，增强其格斗能力。,否,0,雷霆特工队,无,5,雇佣兵/机会主义
TITANIA II/MARY SKEE,女泰坦/玛丽·斯基,女,反派,变异,拥有超人的力量、耐力、速度和飞行能力，通过实验获得强化，是泰坦尼亚的克隆体。,否,0,邪恶大师,无,4,孤傲
NIGHTHAWK II/KYLE RI,夜鹰二世/凯尔·里,男,正派,科技,使用高科技装备，包括飞行翼、夜视镜、格斗武器，具备出色的侦探和格斗技能。,否,0,捍卫者联盟,夜鹰一世,4,孤傲
"JAMESON, MARLA MADIS",玛拉·麦迪斯·詹姆森,女,反派,变异,拥有超人的力量、速度、耐力，能飞行，可从眼部发射能量光束，并具备快速自愈能力。,否,0,无固定核心阵营,无,7,孤傲
"SUMMERS, MADELYNE MA",玛德琳·普赖尔·萨默斯,女,反派,魔法,拥有强大的魔法能力，包括能量投射、飞行、心灵感应和创造幻象，是戈布林女王的化身。,否,0,地狱火俱乐部,无,8,孤傲
WILD CHILD/KYLE GIBN,野孩子/凯尔·吉布尼,男,反派,变异,拥有狼人般的超强感官、再生能力、利爪和獠牙，以及野兽般的敏捷与力量。,否,0,X武器计划,威廉·史崔克,5,狂暴/服从
DAGGER/TANDY BOWEN,匕首/坦迪·鲍文,女,正派,魔法,能够从体内投射出纯净的光能匕首，可治愈他人、净化黑暗能量，并能与搭档斗篷的能量形成协同效应。,否,0,斗篷与匕首,无明确核心导师,3,团队核心
SILHOUETTE,剪影,女,正派,科技,通过特殊服装获得隐形能力，精通潜行、侦察和格斗技巧，擅长情报收集和秘密行动。,否,0,神盾局,尼克·弗瑞,3,低调隐秘
CAPTAIN MARVEL/CAPTA,惊奇队长/卡罗尔·丹弗斯,女,正派,宇宙能量,拥有宇宙能量吸收与释放能力，可飞行、超强力量、能量冲击波发射，并能承受极端环境。,是,2,复仇者联盟,玛·维尔,8,团队核心
CLEA,克莉,女,正派,魔法,精通白魔法、维度旅行、能量操控，是强大的魔法师，能召唤能量实体和进行跨维度传送。,否,0,至尊法师/奇异博士盟友,奇异博士,4,忠诚/坚韧/双重身份
SNOWBIRD/NARYA/ANNE,雪鸟/娜莉亚/安妮,女,正派,神力,拥有因纽特神话中神灵赋予的变形能力，可变为多种加拿大本土动物形态，并具备相应的超自然力量。,否,0,阿尔法战队,无明确核心导师,3,孤傲
WIZARD/BENTLEY WITTM,巫师/本特利·威特姆,男,反派,科技,天才发明家，擅长制造高科技武器和装备，特别是能操控重力的装置，是险恶六人组的创始成员。,否,0,险恶六人组,无,6,孤傲
TURBO II (A)/MICHIKO,涡轮二代/美智子,女,正派,科技,穿戴高科技涡轮装甲，赋予超高速移动、飞行、能量冲击和增强力量与耐力。,否,0,复仇者联盟,钢铁侠,3,团队核心
"OSBORN, HARRY",哈利·奥斯本,男,反派,科技,使用绿魔装备（飞行滑板、南瓜炸弹、强化药剂）获得超强体能、飞行能力和战斗技巧。,否,0,无固定阵营,诺曼·奥斯本,6,双重身份
ZABU,扎布,非人类,中立,变异,拥有远超普通剑齿虎的体型、力量、速度、敏捷性和感官，以及锋利的爪牙，是史前顶级掠食者。,否,0,野蛮之地,凯拉（Ka-Zar的妻子）,6,忠诚伙伴
MARROW/SARAH,骨髓/莎拉,女,正派,变异,变种人，能控制自身骨骼生长，将其作为武器或防御工具，并具备快速愈合能力。,否,0,X战警,X教授,4,孤傲
"ROM, SPACEKNIGHT",太空骑士ROM,非人类,正派,科技,来自赛博特朗星球的改造人，配备能量转换器、分析仪、中性化枪等高科技武器，能飞行并免疫多种攻击。,否,0,太空骑士,无,3,孤傲
LUNA/LUNA MAXIMOFF,卢娜·马克西莫夫,女,正派,变异,拥有感知和影响他人情绪、思想的能力，并能与动物沟通，展现出潜在的心灵感应天赋。,否,0,异人族/复仇者联盟,快银,2,温和内向
BETA RAY BILL,贝塔·雷·比尔,非人类,正派,神力,拥有雷神之力，能挥舞雷神之锤风暴锤，具备超强力量、耐力、飞行能力和能量操控。,否,0,银河护卫队/阿斯加德,奥丁,7,孤傲
SUPREME INTELLIGENCE,至高智慧,非人类,反派,科技,由克里帝国最杰出大脑组成的超级人工智能，拥有无限知识和计算能力，能控制克里帝国军事、科技和政治系统。,是,2,克里帝国,无,9,绝对权威
TOAD/MORTIMER TOYNBE,蛤蟆/莫蒂默·托因比,男,反派,变异,拥有超强弹跳力、粘性长舌、分泌毒液、攀爬墙壁能力，身体柔韧性强。,否,0,变种人兄弟会,万磁王,4,追随者
DIAMONDBACK II/RACHE,钻石背二代/瑞秋,女,反派,科技,使用高科技武器，如可发射钻石形飞镖的护腕、能量护盾和增强体能的外骨骼装甲。,否,0,九头蛇,无,5,双重间谍
BEYONDER,超越者,非人类,中立,宇宙能量,拥有近乎无限的全能宇宙力量，能随意创造、修改现实，是多元宇宙的观察者和实验者。,否,0,无固定阵营,无,10,孤傲
COBRA/KLAUS VORHEES,眼镜蛇/克劳斯·沃赫斯,男,反派,变异,拥有蛇类特征，包括超强柔韧性、毒液分泌、红外线视觉和快速再生能力。,否,0,九头蛇,红骷髅,6,孤傲
BOOMERANG/FRED MYERS,回旋镖/弗雷德·迈尔斯,男,反派,科技,使用高科技回旋镖作为武器，精通投掷技巧，无超能力但装备精良。,否,0,邪恶六人组,无,4,自负狡猾
HUSK/PAIGE GUTHRIE,外壳/佩奇·格思里,女,正派,变异,能够蜕去外层皮肤，蜕皮后获得不同超能力，如飞行、增强力量或能量投射等，每次蜕皮能力随机变化。,否,0,X战警,镭射眼,4,团队合作者
THENA,西娜,女,正派,神力,拥有永恒族的超级力量、速度、耐力、自愈能力，并能操控宇宙能量进行攻击和防御。,是,1,永恒族,阿贾克,4,团队核心
"WING, COLLEEN",科琳·温,女,正派,格斗,精通多种武术，尤其擅长日本剑道和合气道，无超能力但格斗技巧顶尖。,是,1,捍卫者联盟,铁拳,3,坚韧独立
CITIZEN V III/DALLAS,公民V三世/达拉斯,男,正派,格斗,精通格斗术、战术策略和武器使用，无超能力，依靠训练和装备执行任务。,否,0,雷霆特工队,赫尔穆特·泽莫男爵,4,团队核心
