node,type
CERBERUS,hero
CERBERUS II,hero
CEREBRITE ALPHA,hero
CEREBRITE BETA,hero
CEREBRO,hero
CEREBRO MARK XIII |,hero
CEREBRO | MUTANT-X V,hero
CERISE,hero
CERISE II [SHI'AR],hero
CESIUM,hero
CETHLANN,hero
C.F.,hero
"CHADWICK, CHEER",hero
"CHADWICK, DR. HESPER",hero
CHAIN,hero
CHAINSAW/,hero
CHAKA KHAN,hero
CHAKA KHAN II,hero
"CHAKARA, KANU",hero
"CHAKARA, MADAN",hero
CHAKRA,hero
CHAKRA II,hero
"CHALIZ, HAZRAM",hero
"CHALIZ, SHANAZ RAYNA",hero
"CHALIZ, TABRIAZ",hero
"CHALKER, PROF. VIC",hero
"CHALMER, JUDGE",hero
"CHALMERS, CYNTHIA",hero
"CHALMERS, JUDGE ROBE",hero
"CHALMERS, MR.",hero
CHAMBER/JONOTHON STA,hero
"CHAMBERS, MR.",hero
CHAMBLISS,hero
CHAMELEON/DMITRI SME,hero
"CHAMPION, IMUS",hero
CHAMPION/TRYCO SLATT,hero
CHANCE,hero
CHANCE II/NICHOLAS P,hero
"CHANDLER, PEGGY",hero
"CHANDRA, DR.",hero
"CHANEY, AMANDA",hero
"CHANG, DR. PHILLIP",hero
CHANGELING,hero
"CHANG, IMEI",hero
"CHAN, SARAH",hero
CHAOS/DANIEL DASH,hero
"CHAPMAN, DEVIN",hero
"CHAPMAN, GEN. ULYSSE",hero
"CHAR, BRON",hero
CHARCOAL/CHARLIE BUR,hero
CHAR,hero
CHARLIE 27,hero
CHARLIE,hero
CHARM,hero
"CHASE, DETECTIVE SLO",hero
"CHASE, TREVOR",hero
"CHASIN, MAJOR",hero
"CHATTERTON, DAVE",hero
CHAUFFARD,hero
CHECK,hero
CHEETAH,hero
"CHEEVER, JOHN",hero
"CHEKOV, ARTHUR ANTON",hero
CHEMISTRO/CURTIS CAR,hero
CHEMISTRO III,hero
"CHEN, DR.",hero
"CHENEY, LILA",hero
CHEN,hero
"CHEN, JOANNA",hero
"CHERRYH, RANDOLPH WI",hero
CHESBRO,hero
"CHESNEY, SANFORD",hero
"CHIANG, PROF.",hero
CHI-CHEE,hero
CHI DEMON/PROFESSOR,hero
CHIEF EXAMINER,hero
CHIMERA II,hero
CHIMERA/ZUHN,hero
CHINA DOLL,hero
CHINOOK,hero
CHIRA,hero
CHLOE,hero
CHLORINE,hero
CH'OD,hero
CHONDU,hero
"CHORD, ANDREW",hero
"CHORD, MIYAMI",hero
CHROME/,hero
CHROMIUM,hero
CH'THON,hero
CHTYLOK,hero
"CHUNG, LAO WEI",hero
"CHURCHILL, LORD",hero
"CHURCHILL, SIR WINST",hero
"CHURCH, LYNN",hero
CH'VAYRE,hero
"CICERO, CAESAR BIG C",hero
CINDER/,hero
"CIR, DYLON",hero
"CIRE, EYLA",hero
"CIRE, EZRA",hero
"CIRE, MANUEL",hero
"CISCERNOS, SELENA",hero
CITIZEN V II/HELMUT,hero
CITIZEN V III/DALLAS,hero
CITIZEN V/JOHN WATKI,hero
CITYDWELLER/JERRY |,hero
"CLAREMONT, CHRIS",hero
CLARISSA,hero
"CLARIS, SVEN",hero
CLARITY/,hero
"CLARKE, GENERAL JERE",hero
"CLARK, JOHN",hero
"CLARK, SARAH",hero
CLASH/,hero
CLASS CLOWN/GLASS,hero
"CLAYBORNE, REGINA",hero
"CLAY, GORDON",hero
"CLAYTON, KATRINKA JA",hero
CLEA,hero
CLEARCUT/,hero
"CLEARWATER, JUDGE MA",hero
"CLEMSON, MIKE",hero
CLEOPATRA,hero
"CLINTON, BILL",hero
"CLINTON, CHELSEA",hero
CLOAK/TYRONE JOHNSON,hero
"CLOONEY, DR.",hero
CLOUD,hero
CLOWN/CRAFTY ELIOT F,hero
CLUMSY FOULUP,hero
CLUSTER,hero
COACH,hero
COACHWHIP,hero
COAL TIGER/T'CHALLA,hero
COBALT,hero
COBALT II,hero
COBALT MAN,hero
COBRA/KLAUS VORHEES,hero
COBWEB,hero
COCKROACH/,hero
"COCKRUM, DAVE",hero
COCO,hero
"CODY, GARY",hero
CODY,hero
"COFFIN, RAY",hero
"COFFIN, WARDEN JOHNS",hero
"COFFY, DET.",hero
COGGER,hero
"COHEN, IZZY",hero
COIL,hero
COLDBLOOD/,hero
COLDHEART,hero
COLD WARRIOR,hero
"COLE, LYNETTE",hero
"COLE, PRISCILLA",hero
"COLE, WADE",hero
COLLECTIVE MAN,hero
COLLECTIVE MAN II,hero
COLLECTOR/TANELEER T,hero
COLLETTE,hero
"COLLINS, BRADBURY",hero
"COLLINS, DEMITRIUS",hero
"COLLINS, EMMA",hero
"COLLINS, NICK",hero
"COLLINS, TRACY",hero
"COLON, CHERYL",hero
COLOSSUS 2013,hero
COLOSSUS,hero
COLOSSUS II DOPPELGA,hero
COLOSSUS II | MUTANT,hero
COLOSSUS II/PETER RA,hero
COMANCHE,hero
COMBAT/,hero
COMET/HARRIS MOORE,hero
COMET MAN/DR. STEPHE,hero
COMMANDER BLAZE,hero
COMMANDER COURAGE/,hero
COMMANDO/M-NELL,hero
COMMCAST/GARABED BAS,hero
COMPUTO,hero
"CONAN, NEAL",hero
"CONCIERGE, LE/",hero
CONDOR,hero
"CONKLIN, CAPT.",hero
"CONNORS, BILLY",hero
"CONNORS, MARTHA",hero
"CONOVER, ALYSSA",hero
"CONOVER, HANNAH",hero
"CONOVER, REV. WILLIA",hero
"CONOWAY, SEKMEHT",hero
CONQUEST/BRIDGET MAL,hero
"CONRAD, LUTHER DUTCH",hero
"CONROY, KAREN",hero
CONSTRICTOR/FRANK PA,hero
CONSUELA,hero
CONSUMPTION,hero
CONTEMPLATOR/TATH KI,hero
"CONTONI, PAUL",hero
"CONTRARES, ANASTASIA",hero
CONTROLLER/BASIL SAN,hero
CONUNDRUM/,hero
"CONWAY, GERRY",hero
"COOPER, COLE",hero
"COOPER, DR. VALERIE",hero
"COOPER, ROGER CAPS",hero
"COOPER, TERI",hero
"COOPER, WHITNEY III",hero
COPPERHEAD II/,hero
COPPERHEAD III/DAVIS,hero
COPPERHEAD IV/,hero
COPPERHEAD/LAWRENCE,hero
COPPER,hero
"COPPERSMITH, ALFRED",hero
COPYCAT/VANESSA,hero
CORAL,hero
"CORBEAU, DR. PETER",hero
"CORD, EDWIN",hero
CORDITE,hero
"CORD, JANICE",hero
"CORDOVA, JUAN",hero
"CORNELIUS, DR.",hero
CORONA/DAGNY FORREST,hero
CORONARY/JIMMY SHARP,hero
CORONER,hero
"CORRIGAN, ARCHIBALD",hero
CORRUPTOR/JACKSON DA,hero
CORSAIR,hero
"CORSI, TOM",hero
"CORTES, MARIA PILAR",hero
"CORTEZ, FABIAN",hero
COSMIC MESSIAH,hero
COTTONMOUTH,hero
COTTONMOUTH II,hero
COUNTERWEIGHT II/KAT,hero
COUNTERWEIGHT/JACK P,hero
"COUNT NEFARIA, LUCHI",hero
COURIER/JACOB GAVIN,hero
"COURTNEY, DELPHINE",hero
"COVEY, LAWRENCE K.",hero
"COWAN, EARL",hero
"COWEN, BUCK",hero
"COWEN, ELAINE",hero
"COY, GENERAL NGUYEN",hero
COYOTE,hero
"CRAIG, REV.",hero
"CRANDAL, BEN",hero
CRANUS,hero
"CRAWFORD, GEN.",hero
"CRAWLEY, BETRAND",hero
CRAZY EIGHT/LESLIE A,hero
"CREED, GRAYDON",hero
"CREED, GRAYDON | MUT",hero
CREED,hero
CREEP/,hero
CRIMEBUSTER/FRANK MO,hero
CRIME-BUSTER/,hero
CRIME-MASTER/NICK LU,hero
CRIMEWAVE/,hero
CRIME-WAVE/HOLLIS,hero
CRIMSON COMMANDO/FRA,hero
CRIMSON COWL II/,hero
CRIMSON CRUSADER/ROR,hero
CRIMSON DAFFODIL,hero
CRIMSON DYNAMO II/BO,hero
CRIMSON DYNAMO III/A,hero
CRIMSON DYNAMO IV/YU,hero
CRIMSON DYNAMO/PROF.,hero
CRIMSON DYNAMO V/DIM,hero
CRIMSON DYNAMO VIII/,hero
CRIMSON DYNAMO VI/VA,hero
CRIMSON,hero
CRIPPLER/KARL STRIKL,hero
CRITICAL MASS,hero
CRITIC,hero
CRIX,hero
"CROIX, ASHLEY",hero
"CROMWELL, HAMILTON",hero
"CROSSAN, ANNIE",hero
CROSSBONES/BROCK BIN,hero
CROSSBONES II/,hero
CROSSBOW,hero
CROSSFIRE,hero
"CROSS, GENEVIEVE",hero
"CROSS, HAROLD",hero
CROSS/,hero
"CROSS, JASON",hero
"CROSS, STANLEY",hero
"CROSS-WALLACE, SIR G",hero
CROTUS,hero
"CROWE, GERONIMO",hero
CROWLEY,hero
"CROWLEY, SEN.",hero
CROWN,hero
"CROW, REV. JOSHUA",hero
CR'REEE,hero
CRUCIBLE/BYRON CALLE,hero
CRULE,hero
CRUSADER II/ARTHUR B,hero
CRUSADER X/BRIAN BRA,hero
CRUSHER/EL PROFESSOR,hero
CRUSHER II/JUAN APON,hero
CRUSHTACEAN,hero
CRUX/CRISTAL LEMIUEX,hero
CRYSTAL [INHUMAN],hero
CUDGEL/,hero
CUEBALL/,hero
CUFFS/,hero
"CUMMINGS, DIANE",hero
CURSED LOTUS,hero
"CURSON, LT. TARA",hero
"CURZON, DETECTIVE IN",hero
"CUSHING, KATE",hero
"CUSSLER, PHILLIP",hero
"CUSSLER, PHILLIP JR.",hero
CUT,hero
CUTTER,hero
CUTTHROAT/DANIEL LEI,hero
CYANIDE JANE,hero
CYBELE [ETERNAL],hero
CYBER,hero
CYBERMANCER/DR. SUZI,hero
CYBERSLIK,hero
CYBERTOOTH/YEN HSIEH,hero
CYBORG X/,hero
CYCLONE,hero
CYCLONE II/PIERRE FR,hero
CYCLOPS 2013,hero
CYCLOPS DOPPELGANGER,hero
CYCLOPS II,hero
CYCLOPS | MUTANT X-V,hero
CYCLOPS/SCOTT SUMMER,hero
CYLLA,hero
CYLLA II,hero
CYNAS,hero
CYPHER/DOUG RAMSEY,hero
CY-PHYRR 4,hero
CYPRESS/,hero
CYRA [ASGARDIAN],hero
CYTTORAK,hero
"DABOIA, RUSSELL",hero
"DABUTA, NIGEL",hero
"DA COSTA, EMMANUEL",hero
DADDY LONGLEGS/RAMSE,hero
DADDY WRONGLEGS,hero
DAGDA,hero
DAGGER/TANDY BOWEN |,hero
DAGGER/TANDY BOWEN,hero
"DAHN, FARNOQ",hero
DAI-KUMO,hero
"DAKESIAN, NANCI",hero
DAKIMH THE ENCHANTER,hero
DAKINI,hero
"DAKOR, YOGI",hero
"D'ALEXIS, AMBER",hero
DAMAGE,hero
DAMBALLAH,hero
DAMBALLAH II,hero
"DAMIAN, DR. DANIEL",hero
"DAMIAN, MARGO",hero
DAN-FARR,hero
"D'ANGELO, LIEUTENANT",hero
DANGOR,hero
DANIA,hero
"DANIELS, BRIE",hero
"DANNING, SHEILA",hero
DANSEN MACABRE,hero
DANTE,hero
"DANTES, DR. EDWINA",hero
"DANVERS, JOE",hero
"DANVERS, MRS. JOE",hero
"DANVILLE, SEN. OWEN",hero
DARCO,hero
DAREDEVIL DOPPELGANG,hero
DAREDEVIL/MATT MURDO,hero
DAREDEVIL | MUTANT X,hero
"DARE, JOHNNY",hero
"DARE, KATHLEEN",hero
"DARE, ROSSALYN",hero
DARGIL,hero
DARIA,hero
DARK BEAST/HENRY MCC,hero
DARK COUNSEL/VARTU,hero
DARK CRAWLER,hero
DARKHAWK/CHRIS POWEL,hero
DARKHAWK DOPPELGANGE,hero
DARK,hero
DARK HUNTER,hero
DARK MASTER,hero
DARK MOTHER/FINALITY,hero
DARK ONE,hero
DARKOTH/MAJOR DESMON,hero
"DARKOVER, PROFESSOR",hero
DARK RAIDER,hero
DARKSTAR/LAYNIA SERG,hero
DARK WIND/KENJI OYAM,hero
DARLA,hero
"DARLEGUNG, GEN.",hero
"DARROW, MARISSA II",hero
"D'AURIA, JACK",hero
DAVIDOFF,hero
"DAVID, PETER",hero
"DAVIS, ABBY",hero
"DAVIS, PRINCIPAL",hero
DAWN,hero
"DAWSON, DICTIONARY",hero
DAYDREAMER/CATHERINE,hero
DAY,hero
DAYTRIPPER/AMANDA SE,hero
DAZZLER/BURTRAM WORT,hero
DAZZLER II/ALLISON B,hero
DEADAIR,hero
DEADBOLT,hero
DEADEYE/,hero
DEAD HEAD/,hero
DEADHEAD,hero
DEADLY DORIS,hero
DEADMAKER/GREGORI AN,hero
DEADPOOL/JACK/WADE W,hero
DEAD RINGER/LOU,hero
"DEAN, BETTY",hero
"DEAN, DARBY",hero
"DEANGELO, DEVLIN",hero
"DEAN, SUSAN",hero
DEATH ADDER,hero
DEATHBIRD [SHI'AR],hero
DEATHCHARGE,hero
DEATHCRY [SHI'AR],hero
DEATH,hero
DEATHLOK/COLONEL LUT,hero
DEATHLOK II/COL. JOH,hero
DEATHLOK III DOPPELG,hero
DEATHLOK III/MICHAEL,hero
DEATHLOK IV,hero
DEATHLOK | MUTANT X-,hero
DEATHRAVEN/JOSHUA RA,hero
DEATH'S HEAD,hero
DEATHSHIELD/,hero
DEATH-STALKER,hero
DEATH STING/MIRANDA,hero
DEATHSTROKE/,hero
DEATHTOLL,hero
DEATHUNT 9000,hero
DEATHURGE,hero
DEATHWATCH/STEPHAN L,hero
DECAY/,hero
DECAY II/YOSHIRO HAC,hero
DECIBEL,hero
DEFENSOR,hero
"DEGANN, KRIS",hero
DEIMOS,hero
"DEKKER, GENERAL LYLE",hero
"DELACORTE, ARTHUR",hero
DE LA COURTE,hero
"DE LA FONTAINE, CONT",hero
"DE LA JOYA, SISTER M",hero
"DELANY, CAPT.",hero
"DE LA SALLE, BEATRIC",hero
"DE LA SPIROSA, COUNT",hero
"DELAZNY, CHARLES L.",hero
"DELAZNY, DORIAN",hero
"DELGADO, FATHER",hero
DELGADO,hero
"DELGADO, LUZ",hero
"DELGADO, RUFUS",hero
"DEL HIERRO, BLANCA",hero
DELILAH,hero
DELPHI,hero
DELPHI II,hero
"DELPHIS, SIR",hero
DELPHOS,hero
DELUGE,hero
DELUGE II,hero
DEMEITYR,hero
DEMI-GOD,hero
DEMITRIUS,hero
DEMOGOBLIN,hero
DEMOLITION MAN/DENNI,hero
DEMOLITION MAN DOPPE,hero
DEMON BEAR,hero
DEMONICUS/DR. DOUGLA,hero
DEMONSTAFF,hero
DENAK,hero
"DENNAGER, MICHAEL",hero
"DENNEHY, ROBERT",hero
"DENNIS, MARTY",hero
"DEPALMA, MR.",hero
"DEPAUL, SHIELD SPECI",hero
DESADIA,hero
DESAK/DESAK STERIXIA,hero
DESIGNATE/TARENE,hero
DESOLATION/,hero
"DESTINE, ADAM",hero
"DESTINE, NEWTON",hero
DESTINY II/IRENE ADL,hero
DESTINY/PAUL DESTINE,hero
DESTRAK,hero
DESTROYER III,hero
DESTRUCTOR/PROFESSOR,hero
DETHSTRYK,hero
DEUCE,hero
"DEUTSCH, GEN.",hero
DEVASTATOR II/GREGOR,hero
DEVASTATOR/KIROV PET,hero
"DEVERAUX, INSPECTOR",hero
"DEVEREAUX, IRIS",hero
"DEVEREAUX, MICHELLE",hero
DEVIL DINOSAUR,hero
DEVIL DINOSAUR | MUT,hero
"DEVILLE, ARCADIA",hero
"DEVILLE, JENNIFER CR",hero
DEVIL-SLAYER/ERIC SI,hero
"DEVINE, ANTON",hero
DEVLOR,hero
"DEVOOR, ALBERT",hero
DEVOS THE DEVESTATOR,hero
DEVOURER,hero
"DEWITT, KEARSON",hero
"DEWITT, LUCIUS",hero
"DEWOLFF, JEAN",hero
"DEWOLFF, MEREDITH",hero
DEXAM,hero
DEX,hero
"DEZOAN, JOHN",hero
DHEREK,hero
DIABLO/ESTEBAN DE AB,hero
DIAMONDBACK,hero
DIAMONDBACK II/RACHE,hero
"DIAMOND, BOB",hero
"DIAMOND, CHUCKY",hero
"DIAMONDE, YVETTE",hero
DIAMONDHEAD/DYKER,hero
DIAMOND HEAD,hero
"DIAMOND, KATHY",hero
DIAMOND LIL/LILLIAN,hero
"DIBBS, LIONEL",hero
DIBDEB,hero
DICE/ROB FORTUNE,hero
"DICHINSON, RICKY",hero
"DIEGO, MANUEL",hero
DIE'ODE/,hero
"DIETZ, SUSAN",hero
DIGGER,hero
DIGGER II/,hero
"DILLON, ANITA",hero
"DILLON, BERNIE",hero
"DILLON, JONATHAN",hero
DINAH-SOAR,hero
DINU,hero
DIONYSUS [GREEK GOD],hero
"DIPALMA, JOHNNY",hero
DIRECTOR X,hero
DIRGE/,hero
"DIRKSON, GUS",hero
DIRT NAP,hero
DIRTY WOLFF,hero
DISCUS,hero
DISPROSIUM,hero
DISTORTER,hero
DIVINITY,hero
"DIXON, GENERAL",hero
DIZZIE,hero
D'KAY,hero
D.K./DAVID KALEN,hero
D'KEN [SHI'AR],hero
DMITRI,hero
D.O.A.,hero
DOC,hero
"DOCKERY, RUPERT",hero
DOC SAMSON/DR. LEONA,hero
DOC SAMSON | MUTANT,hero
DOCTOR DREDD,hero
"DOCTOR, DR. JOSHUA",hero
DOCTOR MANDIBUS,hero
DOGGEREL,hero
"DOLAN, CAPT. THOMAS",hero
"DOLAN, STACY",hero
DOLLAR BILL,hero
DOLMAN,hero
"DOMANI, DINO",hero
DOMINA,hero
DOMINEX,hero
DOMINO,hero
DOMINO II,hero
DOMINO III/BEATRICE/,hero
DOMINUS,hero
DOMINUS II,hero
DOMO,hero
"DONALDSON, LINDA",hero
DONAR,hero
"DON, GAI NO",hero
"DONLEAVY, HANNAH",hero
"DONNELY, VICTORIA TO",hero
"DONOHUE, TREVOR",hero
DONYELL,hero
"DOOM, DR. BOB",hero
DOOMSDAY MAN,hero
DOOMSDAY MAN II,hero
DOOP,hero
DOORMAN,hero
DOPPELGANGER,hero
"DORCAS, LEMUEL DR.",hero
DORMA [ATLANTEAN],hero
DORMA II [ATLANTEAN],hero
DORMAMMU,hero
"DORNOVA-BLONSKY, NAD",hero
DORREK II,hero
DORREK [SKRULL],hero
DOUGHBOY,hero
DOUGLOCK 2013,hero
"DOVER, DONNA-LEE",hero
DOVINIA,hero
DRACCHISS,hero
DRACULA | MUTANT X-V,hero
DRACULA/VLAD TEPES,hero
DRAGONA,hero
"DRAGONBLOOD, ULYSSES",hero
DRAGONESS,hero
DRAGONFIST,hero
DRAGONFLY II/MEIKO Y,hero
DRAGONFLY/VERONICA D,hero
DRAGONHEAD,hero
DRAGON MAN,hero
"DRAGONMEGAS, JESSIE",hero
DRAGON OF THE MOON,hero
DRAGONUS,hero
DRAGONWING/,hero
"DRAGO, VALERIE",hero
"DRAKE, CARLTON",hero
"DRAKE, FRANKLIN",hero
"DRAKE, MADELINE BEAT",hero
"DRAKE, MALCOLM",hero
"DRAKE, WILLIAM ROBER",hero
"DRAN, DAMON",hero
DR. ANGST/FLOYD MANG,hero
DRAX/ARTHUR DOUGLAS,hero
DRAX DOPPELGANGER,hero
DRAX | MUTANT X-VERS,hero
DR. BONG,hero
DR. DECIBEL/ANTON DE,hero
DR. DOOM CLONE/VICTO,hero
DR. DOOM DOPPELGANGE,hero
DR. DOOM | MUTANT X-,hero
DR. DOOM | TIMESLIDE,hero
DR. DOOM/VICTOR VON,hero
DR. DRUID/ANTHONY LU,hero
DREADFACE,hero
DREADKNIGHT/BRAM VEL,hero
DREADNAUGHT,hero
DREAMGUARD/DEPUTY WI,hero
DREAMING CELESTIAL/T,hero
DREAM QUEEN,hero
"DREYFUSS, RACHEL",hero
DR. FAUSTUS,hero
DR. GOODWRENCH,hero
DR. HYDRO,hero
"DRISCOLL, MAYOR",hero
DR. MIDAS/,hero
DR. MIME,hero
DR. NEMESIS/DR. STOC,hero
DR. OCTOPUS II/CAROL,hero
DR. OCTOPUS | MUTANT,hero
DR. OCTOPUS/OTTO OCT,hero
DROMEDAN,hero
DR. PHOBOS,hero
DR. POWER/DR. MAXIMU,hero
DR. SPECTRUM II/DR.,hero
DR. SPECTRUM III/REV,hero
DR. SPECTRUM/JOSEPH,hero
DR. STRANGE DOPPELGA,hero
DR. STRANGE | MUTANT,hero
DR. STRANGER YET,hero
DR. STRANGE/STEPHEN,hero
DR. SUN,hero
DR. SYNNE,hero
DRUID/DREDMUND CROMW,hero
DRUIG,hero
"DRUMM, COLLETTE",hero
"DRUMM, JERICHO",hero
DR. VAULT,hero
DR. VOLKH/VLADIMIR O,hero
DRY,hero
DR. ZEUS,hero
D'SPAYRE,hero
D'SPRYTE,hero
"DUBOIS, DR. CLAUDIA",hero
"DUBOIS, HERVE",hero
"DUBOIS, NOAH",hero
DUCHARME,hero
"DUCRESTE, ABRIAN",hero
"DUFFY, SGT. MIKE",hero
"DUGAN, DUM DUM | MUT",hero
"DUGAN, TIMOTHY ALOYI",hero
DULB,hero
"DULTRY, MARGARET",hero
"DUNCAN, FRED",hero
"DUNER, MAJOR",hero
"DUNHAM, LAURA",hero
"DUNLEAVY, GEN. ARLEN",hero
"DURAN, CONAL",hero
DUSK,hero
DUSK III,hero
"DUVALL, SNAKY",hero
DWELLER IN DARKNESS,hero
D'WON,hero
"DWORMAN, JIM",hero
"DWYER, MARISSA",hero
DYNA-MITE/ROGER AUBR,hero
"EARLE, CARYN",hero
EARTH-LORD/KYLE BROC,hero
EARTHQUAKE,hero
EBONY,hero
ECCE [WATCHER],hero
ECHO/MAYA LOPEZ,hero
ECLECTA/,hero
ECLIPTIC,hero
ECSTACY/MME. RENE DE,hero
EDDA,hero
"EDGERTON, GAYLE",hero
"EDGERTON, MR.",hero
EDITOR,hero
"EDWARDS, MARTIN/DR.",hero
EELAK,hero
EEL II/EDWARD LAVELL,hero
EEL III,hero
EEL/LEOPOLD STRYKE,hero
EENY,hero
EFFIGY/LT. VELMAX/JA,hero
EGGHEAD/PROF. ELIHAS,hero
EGMA,hero
EGO,hero
EGO-PRIME,hero
"EHMAN, HEIDI",hero
EIGHTBALL,hero
EILIF DRAGONSLAYER,hero
"EISMAN, BETTY",hero
EITRI,hero
EJULP,hero
EKAK,hero
EL AGUILA,hero
ELAMRON,hero
ELATHAN,hero
EL CONQUISTADOR,hero
ELECTRA,hero
ELEC'TRIX/,hero
ELECTRO/MAX DILLON,hero
ELECTRON,hero
ELECTRYON,hero
ELEJEA,hero
ELEKTRA/ELEKTRA NATC,hero
ELEKTRA | MUTANT X-V,hero
"EL GIBAR, ACHMED",hero
ELITE/,hero
EL JAGUAR,hero
"ELLENTHORPE, MARIAH",hero
"ELLINGTON, DR./TRAVI",hero
"ELLIS, KEN",hero
ELO,hero
ELSIE DEE,hero
EL TIGRE,hero
EL TORO NEGRO/SERGIO,hero
EL TORO ROJO,hero
EL UNO,hero
EL VAMPIRO,hero
ELWOOD,hero
ELYSIA,hero
ELYSIUS,hero
EMBER,hero
EMPATH/MANUEL ALFONS,hero
EMPLATE/MARIUS ST. C,hero
EMPRESS R'KILL [SKRU,hero
EMPRESS S'BYLL [SKRU,hero
ENCHANTER,hero
ENCHANTRESS/AMORA/HE,hero
"ENDO, DR. SUZI",hero
ENFORCER/DELAZNY,hero
"ENGLEHART, STEVE",hero
ENRAGED,hero
ENRAKT,hero
ENT,hero
ENTITY,hero
ENTITY II,hero
EON,hero
EPHESUS,hero
EPOCH,hero
"EPSTEIN, MORRIS",hero
"EPSTEIN, MRS.",hero
"EPSTEIN, PROF. NORA",hero
"EPURER, GISCARD",hero
EQUILIBRIUS,hero
EQUINOX/TERRY SORENS,hero
ERBIUM,hero
ERG,hero
ERIC THE RED II,hero
ERIC THE RED [SHI'AR,hero
ERISHKIGEL,hero
ERISHKIGEL II/HOLLY,hero
EROS,hero
"ERWIN, CLYTEMNESTRA",hero
"ERWIN, MORLEY",hero
ESON [CELESTIAL],hero
ESON II,hero
ESSEX,hero
"ESSEX, REBECCA",hero
"ESTAVES, DR. ROSA",hero
"ESTAVES, MARIE",hero
ETERNAL BRAIN/PROFES,hero
ETERNITY/ADAM QADMON,hero
ETUBAN,hero
"ETZION, GENERAL",hero
EUROPIUM,hero
"EVANS, DORIS",hero
"EVE 3,031",hero
"EVERETT, BILL",hero
EVER,hero
EVERWRAITH/,hero
EVERY-MAN,hero
EVILHAWK/DARGIN BOKK,hero
EXALTED ONE,hero
EXALT,hero
EXECUTIONER,hero
EXECUTIONER III/BRUT,hero
EXECUTIONER II/SKURG,hero
EXECUTIONER IV,hero
EXECUTIONER V,hero
"EXETER, LT.",hero
EXILE,hero
EXITAR,hero
EXODUS/BENNET DUPARI,hero
EXPEDITER II/ZOE CUL,hero
EXPEDITER/JOHN WRAIT,hero
EZEKEEL,hero
FACADE,hero
FACE/COL. EISEN,hero
FAGIN,hero
FAHE,hero
"FAIRMONT, AMANDA MAN",hero
"FAIRMONT, HANNAH",hero
FAITH,hero
FALCONA [INHUMAN],hero
"FALCONER, CALVIN",hero
FALCON/SAM WILSON,hero
"FALK, DR. JENNIE",hero
FALLEN | MUTANT X-VE,hero
"FALLON, HOWARD",hero
"FALLON, MEG",hero
"FALLON, RIGBY",hero
"FALSWORTH, KENNETH",hero
FALZON,hero
FAMINE/AUTUMN ROLFSO,hero
FAMINE | MUTANT X-VE,hero
FANCY DAN,hero
FANDRAL [ASGARDIAN],hero
FANDRAL | MUTANT X-V,hero
FANG,hero
FANG II,hero
FANG III,hero
FANTASIA,hero
FANTASMA,hero
FARAHD,hero
"FARGO, FLAGG",hero
FAROUK,hero
"FARREL, MIKE",hero
FATALE/PAMELA GREENW,hero
"FATE, IAN",hero
FATHER TIME,hero
FATH,hero
"FAVERSHAM, DAPHNE",hero
FAWKES,hero
"FAWN, FELICIA",hero
FAYRELYTE STRONGHEAR,hero
FAZE,hero
FEAR EATER/KKALLAKKU,hero
"FEIFFER, DEPUTY BEAU",hero
"FELDSTADT, DR. HANS",hero
FENRIS,hero
"FENSTER, RICHARD",hero
"FENTON, BARNEY",hero
FENWAY,hero
FERA,hero
FERAL/MARIA CALLASAN,hero
FER DE LANCE/TERESA,hero
"FERGUSON, ISABEL",hero
FEROCIA/,hero
FERON,hero
"FERRARI, CONNIE",hero
FERRIS,hero
FERRO2,hero
FEUER,hero
FEVER PITCH/,hero
"FIDDLER, BARNEY",hero
FIELDER,hero
"FIELDING, CLARENCE",hero
"FIELDS, MARJORIE",hero
"FIELDS, PROF. WILLIA",hero
"FIELDS, TODD",hero
FIELDSTONE/,hero
"FIELDS, TRACI",hero
"FIELSTEIN, FIREWORKS",hero
FIFOLET,hero
"FILLMORE, BETTY",hero
"FILLMORE, GARRET",hero
"FILLMORE, SHERIFF DO",hero
FIM,hero
FIN FANG FOOM/MIDGAR,hero
FIN FANG FOOM | MUTA,hero
FIN/PETER NOBLE,hero
FIREARM/,hero
FIREBALLS/JACK FARLE,hero
FIREBIRD/BONITA JUAR,hero
FIREBOLT,hero
FIREBRAND/GARY GILBE,hero
FIREBRAND II/BROXTEL,hero
FIREBRAND III/RICHAR,hero
FIREBUG/,hero
FIRE EATER/TOMAS,hero
FIREFALL II,hero
FIREFALL III/ARCHIE,hero
FIREFALL IV/TARN,hero
FIREFALL/KARAS,hero
FIREFIGHT/,hero
FIREFIST II/,hero
FIREFIST/RUSTY COLLI,hero
FIREFLY,hero
FIREFLY II,hero
FIRELORD/PYREUS KRIL,hero
FIRESTAR/ANGELICA JO,hero
FIRESTAR DOPPELGANGE,hero
FIRESTAR | MUTANT X-,hero
FIRESTRIKE/DALTON BE,hero
FIREWALL/THEARY/MIN,hero
"FISHER, PROF. FRANCE",hero
"FISHMAN, DR. JONATHA",hero
"FISK, VANESSA",hero
FIST/,hero
FITCH/,hero
"FITZGERALD, KENNY",hero
"FITZGERALD, MOLLY",hero
"FITZPATRICK, WILL",hero
"FITZROY, TREVOR",hero
FIXER II/PAUL NORBER,hero
FIXER/SWEENEY,hero
FIXX,hero
FIZGIG/,hero
FIZ [SKRULL],hero
FLAG-SMASHER,hero
FLAMBE/,hero
FLAME,hero
